PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Dominique Jones,DAL,23,6-5,215,South Florida,USA,2010,1,25,33,2.7,1.3,1.3,-14.6,3.20%,12.20%,19.30%,49.30%,29.80%
Dominic McGuire,GSW,26,6-9,235,Fresno State,USA,2007,2,47,64,3.5,3.8,1.7,-5.6,7.00%,14.80%,11.80%,48.60%,14.60%
Dirk Nowitzki,DAL,34,7-0,245,None,Germany,1998,1,9,62,21.6,6.7,2.2,5.9,2.30%,18.10%,28.40%,56.40%,11.90%
Dexter Pittman,MIA,24,6-11,285,Texas-Austin,USA,2010,2,32,35,3,2,0.3,1.2,9.10%,15.00%,17.90%,49.80%,4.90%
Devin Harris,UTA,29,6-3,192,Wisconsin,USA,2004,1,5,63,11.3,1.8,5,2.8,0.70%,6.00%,19.50%,56.40%,27.10%
Devin Ebanks,LAL,22,6-9,215,West Virginia,USA,2010,2,43,24,4,2.3,0.5,-0.2,6.50%,7.20%,13.60%,46.50%,4.30%
Derrick Williams,MIN,21,6-8,241,Arizona,USA,2011,1,2,66,8.8,4.7,0.6,-3.2,5.40%,16.10%,20.50%,49.90%,4.60%
Derrick Rose,CHI,23,6-3,190,Memphis,USA,2008,1,1,39,21.8,3.4,7.9,10.2,1.90%,7.30%,29.60%,53.20%,37.90%
Derrick Favors,UTA,20,6-10,248,Georgia Tech,USA,2010,1,3,65,8.8,6.5,0.7,-0.5,11.30%,19.90%,20.00%,53.70%,5.30%
Derrick Byars,SAS,28,6-7,220,Vanderbilt,USA,2007,2,42,2,5,5.5,0.5,-9.2,11.30%,14.70%,13.40%,39.20%,4.00%
Derrick Brown,CHA,24,6-8,233,Xavier,USA,2009,2,40,65,8.1,3.6,1,-13.2,6.40%,10.40%,16.60%,55.60%,8.60%
Deron Williams,NJN,28,6-3,209,Illinois,USA,2005,1,3,55,21,3.3,8.7,-4.7,1.10%,8.50%,29.40%,52.70%,45.80%
Derek Fisher,OKC,37,6-1,210,Arkansas-Little Rock,USA,1996,1,24,63,5.6,1.9,2.7,4.4,0.90%,6.90%,13.40%,46.40%,17.00%
Dennis Horner,NJN,24,6-9,230,North Carolina State,USA,Undrafted,Undrafted,Undrafted,8,0.6,0.6,0,-32,9.50%,17.60%,14.00%,43.40%,0.00%
Delonte West,DAL,28,6-3,180,St. Joseph's (PA),USA,2004,1,24,44,9.6,2.3,3.2,-1,1.20%,8.30%,20.10%,53.90%,22.90%
DeShawn Stevenson,NJN,31,6-5,218,None,USA,2000,1,23,51,2.9,2,0.8,-7.6,0.70%,9.80%,9.30%,41.30%,6.80%
DeSagana Diop,CHA,30,7-0,280,None,Senegal,2001,1,8,27,1.1,3.1,0.9,-19.5,8.90%,17.00%,8.70%,34.70%,12.40%
DeMarre Carroll,UTA,25,6-8,212,Missouri,USA,2009,1,27,24,4.5,2.2,0.8,-2.1,8.30%,8.10%,15.70%,47.80%,7.80%
DeMarcus Cousins,SAC,21,6-11,270,Kentucky,USA,2010,1,5,64,18.1,11,1.6,-3.9,12.40%,23.40%,28.60%,49.90%,9.20%
DeMar DeRozan,TOR,22,6-7,216,Southern California,USA,2009,1,9,63,16.7,3.3,2,-2.5,1.90%,8.10%,25.00%,50.30%,10.50%
DeJuan Blair,SAS,23,6-7,270,Pittsburgh,USA,2009,2,37,64,9.5,5.5,1.2,1.7,11.50%,14.80%,21.00%,54.90%,9.10%
DeAndre Liggins,ORL,24,6-6,209,Kentucky,USA,2011,2,53,17,1.9,0.9,0.3,-27.1,5.20%,9.10%,17.30%,49.50%,9.10%
DeAndre Jordan,LAC,23,6-11,265,Texas A&M,USA,2008,2,35,66,7.4,8.3,0.3,5.5,11.60%,19.50%,11.90%,62.60%,1.40%
David West,IND,31,6-9,240,Xavier,USA,2003,1,18,66,12.8,6.6,2.1,5.6,6.20%,16.00%,20.70%,53.10%,12.30%
David Lee,GSW,29,6-9,240,Florida,USA,2005,1,30,57,20.1,9.6,2.8,-3,8.40%,17.90%,25.60%,54.90%,13.20%
Darryl Watkins,NOH,27,6-11,258,Syracuse,USA,Undrafted,Undrafted,Undrafted,5,4.6,5.4,0.6,-12.8,9.20%,19.20%,14.90%,52.50%,6.50%
Darren Collison,IND,24,6-0,160,UCLA,USA,2009,1,21,60,10.4,3.1,4.8,3.4,1.60%,8.20%,16.70%,52.60%,23.90%
Darko Milicic,MIN,27,7-0,275,None,Serbia,2003,1,2,29,4.6,3.3,0.6,-4.8,7.10%,13.00%,17.00%,45.80%,6.20%
Darius Morris,LAL,21,6-4,190,Michigan,USA,2011,2,41,19,2.4,0.8,1.1,-14.4,1.20%,7.70%,18.40%,50.00%,22.10%
Darington Hobson,MIL,24,6-7,210,New Mexico,USA,2010,2,37,5,0.8,0.6,1.2,7.8,0.00%,8.10%,16.70%,15.40%,25.00%
Dante Cunningham,MEM,25,6-8,230,Villanova,USA,2009,2,33,64,5.2,3.8,0.6,-1.6,8.10%,14.20%,13.40%,53.80%,5.40%
Danny Green,SAS,25,6-6,210,North Carolina,USA,2009,2,46,66,9.1,3.5,1.3,7.8,3.60%,11.20%,17.00%,57.90%,8.60%
Danny Granger,IND,29,6-8,228,New Mexico,USA,2005,1,17,62,18.7,5,1.8,7,3.90%,10.80%,25.20%,54.20%,9.10%
Danilo Gallinari,DEN,23,6-10,225,None,Italy,2008,1,6,43,14.6,4.7,2.7,7.8,2.30%,12.80%,20.70%,56.30%,13.10%
Daniel Orton,ORL,21,6-10,255,Kentucky,USA,2010,1,29,16,2.8,2.4,0.3,-10.9,10.10%,11.40%,12.00%,54.90%,4.70%
Daniel Gibson,CLE,26,6-2,200,Texas-Austin,USA,2006,2,42,35,7.5,2.9,2.2,-3.2,1.10%,9.70%,14.80%,49.30%,13.60%
Dan Gadzuric,NYK,34,6-11,240,UCLA,Netherlands,2002,2,33,2,0,2.5,0,-7.4,7.70%,33.30%,12.90%,0.00%,0.00%
Damion James,NJN,24,6-7,225,Texas-Austin,USA,2010,1,24,7,4.9,4.7,0.4,-7.6,3.80%,14.90%,13.80%,42.20%,3.20%
Damien Wilkins,DET,32,6-6,225,Georgia,USA,Undrafted,Undrafted,Undrafted,60,3.2,1.7,0.7,-1,2.40%,8.90%,12.30%,44.50%,7.90%
Dahntay Jones,IND,31,6-6,225,Duke,USA,2003,1,20,65,5.3,1.8,1,-4.2,2.10%,9.30%,15.60%,53.30%,10.60%
Daequan Cook,OKC,25,6-5,210,Ohio State,USA,2007,1,21,57,5.5,2.1,0.3,4.1,1.30%,10.90%,14.60%,50.90%,2.40%
DaJuan Summers,NOH,24,6-8,240,Georgetown,USA,2009,2,35,15,4.5,1.5,0.7,-7,4.00%,8.00%,17.00%,49.30%,8.30%
DJ White,CHA,25,6-9,235,Indiana,USA,2008,1,29,58,6.8,3.6,0.8,-16,4.40%,15.70%,17.60%,51.60%,8.00%
D.J. Kennedy,CLE,22,6-5,214,St. John's,USA,Undrafted,Undrafted,Undrafted,2,6,3.5,1.5,-28.8,1.60%,10.00%,13.00%,46.60%,8.80%
D.J. Augustin,CHA,24,6-0,180,Texas-Austin,USA,2008,1,9,48,11.1,2.3,6.4,-14.9,1.70%,6.20%,20.60%,49.30%,37.00%
Craig Smith,POR,28,6-7,265,Boston College,USA,2006,2,36,47,3.3,2.3,0.4,-8.1,6.80%,17.00%,15.40%,55.60%,6.70%
Craig Brackins,PHI,24,6-10,230,Iowa State,USA,2010,1,21,14,1.6,1.1,0.6,-30.1,4.80%,12.00%,18.40%,32.50%,17.40%
Courtney Lee,HOU,26,6-5,200,Western Kentucky,USA,2008,1,22,58,11.4,2.7,1.5,1.2,1.50%,8.00%,17.30%,53.40%,7.90%
Courtney Fortson,HOU,24,5-11,185,Arkansas,USA,Undrafted,Undrafted,Undrafted,10,3.5,1.5,1,-21.8,5.10%,9.90%,20.40%,45.30%,22.20%
Cory Joseph,SAS,20,6-3,185,Texas-Austin,Canada,2011,1,29,29,2,0.9,1.2,-9,1.80%,8.00%,14.80%,37.40%,18.90%
Cory Higgins,CHA,23,6-5,180,Colorado,USA,Undrafted,Undrafted,Undrafted,38,3.9,0.9,0.9,-13.3,1.70%,7.10%,24.60%,40.20%,15.90%
Corey Maggette,CHA,32,6-6,225,Duke,USA,1999,1,13,32,15,3.9,1.2,-15.9,2.20%,12.00%,26.40%,51.70%,8.20%
Corey Brewer,DEN,26,6-9,188,Florida,USA,2007,1,7,59,8.9,2.5,1.5,2,3.40%,8.30%,19.10%,50.50%,10.30%
Cole Aldrich,OKC,23,6-11,240,Kansas,USA,2010,1,11,26,2.2,1.8,0.1,-10.7,8.00%,19.20%,14.90%,59.20%,3.40%
Chuck Hayes,SAC,29,6-6,250,Kentucky,USA,Undrafted,Undrafted,Undrafted,54,3.2,4.3,1.4,-7.1,6.60%,15.80%,10.20%,45.90%,10.90%
Christian Eyenga,LAL,23,6-7,210,None,Congo,2009,1,30,7,2.4,2,0.7,-19,3.50%,9.30%,14.20%,29.80%,9.30%
Chris Wright,GSW,23,6-8,226,University of Dayton,USA,Undrafted,Undrafted,Undrafted,24,2.9,1.9,0.2,-4.5,9.40%,13.40%,15.20%,59.70%,3.50%
Chris Wilcox,BOS,29,6-10,235,Maryland,USA,2002,1,8,28,5.4,4.4,0.4,-3.5,8.40%,17.50%,14.70%,61.20%,4.20%
Chris Singleton,WAS,22,6-8,230,Florida State,USA,2011,1,18,66,4.6,3.5,0.7,-3.9,3.00%,13.40%,11.50%,46.20%,5.10%
Chris Paul,LAC,27,6-0,175,Wake Forest,USA,2005,1,4,60,19.8,3.6,9.1,7.4,2.00%,8.40%,23.70%,58.10%,41.30%
Chris Kaman,NOH,30,7-0,265,Central Michigan,USA,2003,1,6,47,13.1,7.7,2.1,-2.7,7.10%,20.70%,26.20%,47.80%,13.40%
Chris Johnson,NOH,26,6-11,210,Louisiana State,USA,Undrafted,Undrafted,Undrafted,27,2,1.5,0.1,-11.6,8.50%,14.00%,15.50%,55.70%,1.70%
Chris Duhon,ORL,29,6-1,190,Duke,USA,2004,2,38,63,3.8,1.6,2.4,-0.3,1.20%,7.30%,11.20%,55.80%,20.80%
Chris Bosh,MIA,28,6-11,235,Georgia Tech,USA,2003,1,4,57,18,7.9,1.8,10,5.40%,17.70%,23.90%,55.10%,8.60%
Chris Andersen,DEN,33,6-10,228,Blinn J.C.,USA,Undrafted,Undrafted,Undrafted,32,5.3,4.6,0.2,5,10.10%,19.20%,14.50%,58.30%,1.90%
Chauncey Billups,LAC,35,6-3,210,Colorado,USA,1997,1,3,20,15,2.5,4,6.4,0.70%,7.70%,22.60%,55.40%,21.00%
Chase Budinger,HOU,24,6-7,218,Arizona,USA,2009,2,44,58,9.6,3.7,1.3,0.3,2.90%,14.30%,19.00%,55.60%,9.30%
Charlie Villanueva,DET,27,6-11,232,Connecticut,USA,2005,1,7,13,7,3.7,0.5,-13.4,4.50%,21.80%,24.20%,48.40%,6.70%
Charles Jenkins,GSW,23,6-3,220,Hofstra,USA,2011,2,44,51,5.8,1.3,3.3,-11.7,0.90%,6.70%,18.40%,48.20%,30.60%
Channing Frye,PHX,29,6-11,245,Arizona,USA,2005,1,8,64,10.5,5.9,1.4,5.1,4.60%,17.80%,19.20%,51.90%,7.70%
Chandler Parsons,HOU,23,6-9,227,Florida,USA,2011,2,38,63,9.5,4.8,2.1,1.9,5.10%,11.80%,16.30%,51.30%,11.40%
Cartier Martin,WAS,27,6-7,220,Kansas State,USA,Undrafted,Undrafted,Undrafted,17,9.3,3.4,0.6,4.2,3.10%,11.80%,17.90%,55.50%,4.10%
Caron Butler,LAC,32,6-7,228,Connecticut,USA,2002,1,10,63,12,3.7,1.2,7.5,2.40%,10.30%,20.10%,50.10%,6.50%
Carmelo Anthony,NYK,28,6-8,230,Syracuse,USA,2003,1,3,55,22.6,6.3,3.6,2.5,4.70%,13.90%,31.10%,52.50%,20.90%
Carlos Delfino,MIL,29,6-6,230,None,Argentina,2003,1,25,54,9,3.9,2.3,-5.3,1.20%,13.00%,15.50%,51.50%,11.80%
Carlos Boozer,CHI,30,6-9,266,Duke,USA,2002,2,34,66,15,8.5,1.9,6.2,6.00%,23.10%,23.50%,54.90%,11.20%
Carldell Johnson,NOH,29,5-10,180,Alabama-Birmingham,USA,Undrafted,Undrafted,Undrafted,15,1.8,0.6,1.5,6.2,0.90%,6.80%,17.60%,37.20%,31.40%
Carl Landry,NOH,28,6-9,248,Purdue,USA,2007,2,31,41,12.5,5.2,0.9,-3.7,8.50%,14.80%,23.60%,57.70%,7.10%
CJ Miles,UTA,25,6-6,222,No College,USA,2005,2,34,56,9.1,2.1,1.2,0,2.40%,8.00%,21.80%,48.40%,9.60%
C.J. Watson,CHI,28,6-2,175,Tennessee,USA,Undrafted,Undrafted,Undrafted,49,9.7,2.1,4.1,1.4,1.80%,7.20%,22.40%,49.10%,28.30%
Byron Mullens,CHA,23,7-0,275,Ohio State,USA,2009,1,24,65,9.3,5,0.9,-12.9,6.50%,16.30%,22.10%,47.30%,7.30%
Brook Lopez,NJN,24,7-0,265,Stanford,USA,2008,1,10,5,19.2,3.6,1.2,-10.6,5.50%,7.20%,30.90%,52.70%,9.40%
Brian Skinner,MEM,36,6-9,255,Baylor,USA,1998,1,22,1,0,0,0,-77.8,0.00%,0.00%,10.00%,0.00%,0.00%
Brian Scalabrine,CHI,34,6-9,235,Southern California,USA,2001,2,34,28,1.1,0.8,0.5,2.5,6.00%,11.20%,14.40%,49.00%,19.50%
Brian Cook,WAS,31,6-9,250,Illinois,USA,2003,1,24,32,2.5,2,0.3,-0.7,3.50%,18.50%,18.20%,39.60%,5.60%
Brian Cardinal,DAL,35,6-8,240,Purdue,USA,2000,2,44,44,1,0.8,0.4,-10,1.40%,10.60%,10.30%,37.30%,9.40%
Brendan Haywood,DAL,32,7-0,263,North Carolina,USA,2001,1,20,54,5.2,6,0.4,1.4,12.30%,16.00%,12.60%,52.00%,2.50%
Brandon Rush,GSW,26,6-6,225,Kansas,USA,2008,1,13,65,9.8,3.9,1.4,-2.1,2.00%,12.60%,15.30%,62.80%,8.10%
Brandon Knight,DET,20,6-3,189,Kentucky,USA,2011,1,8,66,12.8,3.2,3.8,-6.2,1.60%,9.10%,21.50%,51.10%,20.20%
Brandon Jennings,MIL,22,6-1,169,None,USA,2009,1,10,66,19.1,3.4,5.5,-2,2.00%,7.70%,25.30%,51.40%,26.40%
Brandon Bass,BOS,27,6-8,250,Louisiana State,USA,2005,2,33,59,12.5,6.2,0.9,4.3,5.70%,14.40%,19.50%,52.40%,5.00%
Brandan Wright,DAL,24,6-10,210,North Carolina,USA,2007,1,8,49,6.9,3.6,0.3,1.3,8.30%,13.40%,16.70%,63.20%,2.90%
Brad Miller,MIN,36,7-0,261,Purdue,USA,Undrafted,Undrafted,Undrafted,15,2.3,1.3,1.6,-5.9,2.60%,11.00%,13.60%,54.20%,25.50%
Boris Diaw,SAS,30,6-8,235,None,France,2003,1,21,57,6.4,4.9,3.6,-7.8,4.90%,14.80%,15.10%,49.80%,22.40%
Bobby Simmons,LAC,32,6-6,235,DePaul,USA,2001,2,41,28,2.9,2,0.4,-2,4.00%,9.90%,11.00%,43.00%,3.90%
Blake Griffin,LAC,23,6-10,251,Oklahoma,USA,2009,1,1,66,20.7,10.9,3.2,7.4,9.30%,21.70%,26.20%,55.70%,15.60%
Blake Ahearn,UTA,28,6-2,190,Missouri State,USA,Undrafted,Undrafted,Undrafted,4,2.5,0.5,0.3,-22.4,0.00%,7.40%,27.10%,35.70%,6.30%
Bismack Biyombo,CHA,19,6-9,245,None,DRC,2011,1,7,63,5.2,5.8,0.4,-15.8,7.50%,17.70%,12.90%,48.00%,3.20%
Beno Udrih,MIL,29,6-3,203,None,Slovenia,2004,1,28,59,5.9,1.7,3.8,10.7,2.40%,6.60%,17.70%,48.80%,31.70%
Ben Wallace,DET,37,6-9,240,Virginia Union,USA,Undrafted,Undrafted,Undrafted,62,1.4,4.3,0.7,-5,8.20%,21.20%,6.80%,39.80%,7.30%
Ben Uzoh,TOR,24,6-3,205,Tulsa,USA,Undrafted,Undrafted,Undrafted,18,4.5,3.7,3.4,1.2,5.30%,12.50%,15.90%,37.70%,28.00%
Ben Gordon,DET,29,6-3,200,Connecticut,USA,2004,1,3,52,12.5,2.3,2.4,-7.3,1.00%,8.60%,22.70%,54.90%,17.20%
Baron Davis,NYK,33,6-3,212,UCLA,USA,1999,1,3,29,6.1,1.9,4.7,3.8,2.40%,7.50%,20.50%,45.70%,34.70%
Avery Bradley,BOS,21,6-2,180,Texas-Austin,USA,2010,1,19,64,7.6,1.8,1.4,4.1,2.90%,5.70%,17.90%,55.50%,10.90%
Austin Daye,DET,24,6-11,200,Gonzaga,USA,2009,1,15,41,4.7,2.2,0.8,-11.5,2.20%,13.80%,21.10%,39.40%,10.00%
Arron Afflalo,DEN,26,6-5,215,UCLA,USA,2007,1,27,62,15.2,3.2,2.4,1.1,2.00%,7.60%,18.60%,58.40%,11.50%
Armon Johnson,NJN,23,6-3,195,Nevada-Reno,USA,2010,2,34,9,5.2,1.4,1.2,-4.9,0.70%,9.40%,17.80%,51.50%,16.70%
Anthony Tolliver,MIN,27,6-8,240,Creighton,USA,Undrafted,Undrafted,Undrafted,51,4.1,3,0.4,-2,5.60%,11.30%,12.00%,50.40%,4.00%
Anthony Randolph,MIN,22,6-11,225,Louisiana State,USA,2008,1,14,34,7.4,3.6,0.6,-3,8.10%,14.70%,23.50%,53.20%,6.60%
Anthony Parker,CLE,37,6-6,210,Bradley,USA,1997,1,21,51,7.2,2.7,2.4,-10.1,0.80%,10.80%,13.80%,52.30%,14.40%
Anthony Morrow,NJN,26,6-5,210,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,62,12,2,1,-4.2,1.90%,6.30%,20.80%,53.10%,6.50%
Anthony Carter,TOR,37,6-1,190,Hawaii,USA,Undrafted,Undrafted,Undrafted,24,2,1.4,1.4,-11.2,2.40%,13.50%,15.90%,40.90%,29.60%
Antawn Jamison,CLE,36,6-9,235,North Carolina,USA,1998,1,4,65,17.2,6.3,2,-7.2,5.30%,13.90%,25.50%,48.10%,11.00%
Andris Biedrins,GSW,26,7-0,242,None,Latvia,2004,1,11,47,1.7,3.7,0.3,-7.7,6.40%,18.50%,5.10%,58.10%,2.90%
Andrew Goudelock,LAL,23,6-3,200,College of Charleston,USA,2011,2,46,40,4.4,0.8,0.5,-4,1.20%,6.10%,22.00%,48.80%,8.50%
Andrew Bynum,LAL,24,7-0,285,None,USA,2005,1,10,60,18.7,11.8,1.4,2.1,9.60%,23.40%,23.40%,59.40%,7.40%
Andrew Bogut,MIL,27,7-0,260,Utah,Australia,2005,1,1,12,11.3,8.3,2.6,3.4,6.10%,21.40%,21.40%,46.50%,14.80%
Andres Nocioni,PHI,32,6-7,225,None,Argentina,Undrafted,Undrafted,Undrafted,11,1.5,1.3,0.1,-18.9,1.70%,23.60%,22.80%,34.20%,3.30%
Andrea Bargnani,TOR,26,7-0,256,None,Italy,2006,1,1,31,19.5,5.5,2,-2.3,2.60%,14.80%,28.80%,53.80%,11.30%
Andre Miller,DEN,36,6-2,200,Utah,USA,1999,1,8,66,9.7,3.3,6.7,4.6,3.20%,9.20%,19.80%,51.00%,36.50%
Andre Iguodala,PHI,28,6-6,207,Arizona,USA,2004,1,9,62,12.4,6.1,5.5,5.2,2.50%,14.40%,17.60%,53.70%,24.10%
Andre Emmett,NJN,29,6-5,230,Texas Tech,USA,2004,2,35,6,2.2,1,0.2,-5.9,6.10%,7.80%,14.00%,61.80%,3.60%
Andray Blatche,WAS,25,6-11,260,None,USA,2005,2,49,26,8.5,5.8,1.1,-12.4,6.20%,19.60%,21.40%,41.50%,7.60%
Anderson Varejao,CLE,29,6-11,260,None,Brazil,2004,2,30,25,10.8,11.5,1.7,-1,13.50%,24.10%,16.30%,54.20%,8.60%
Amir Johnson,TOR,25,6-9,210,No College,USA,2005,2,56,64,7.1,6.4,1.2,0.6,10.20%,16.60%,14.10%,60.00%,8.50%
Amar'e Stoudemire,NYK,29,6-11,260,None,USA,2002,1,9,47,17.5,7.8,1.1,-1.9,6.90%,17.60%,24.80%,54.10%,6.30%
Alonzo Gee,CLE,25,6-6,219,Alabama,USA,Undrafted,Undrafted,Undrafted,63,10.6,5.1,1.8,-5.9,5.30%,12.30%,18.40%,51.60%,10.90%
Alec Burks,UTA,20,6-6,202,Colorado,USA,2011,1,12,59,7.2,2.2,0.9,-1.9,5.90%,8.10%,21.20%,50.60%,10.00%
Alan Anderson,TOR,29,6-6,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,17,9.6,2,1.5,-2.7,1.80%,5.70%,18.60%,51.90%,10.00%
Al-Farouq Aminu,NOH,21,6-9,215,Wake Forest,USA,2010,1,8,66,6,4.7,1,-0.2,7.00%,14.80%,15.90%,48.10%,7.40%
Al Jefferson,UTA,27,6-10,289,None,USA,2004,1,15,61,19.2,9.6,2.2,4.1,6.70%,22.30%,25.80%,52.00%,11.30%
Al Horford,ATL,26,6-10,250,Florida,Dominican Rep...,2007,1,3,11,12.4,7,2.2,8.3,7.70%,15.60%,17.40%,58.50%,11.30%
Al Harrington,DEN,32,6-9,250,None,USA,1998,1,25,64,14.2,6.1,1.4,5,4.20%,18.10%,24.10%,53.50%,8.30%
Aaron Gray,TOR,27,7-0,270,Pittsburgh,USA,2007,2,49,49,3.9,5.7,0.6,-10,10.50%,26.50%,13.40%,52.60%,5.50%
AJ Price,IND,25,6-2,185,Connecticut,USA,2009,2,52,44,3.9,1.4,2,1.2,2.10%,9.20%,17.10%,45.40%,26.40%
